,Date,Depth (m),Temp,O2 (mg/l),O2 (%),Density,DO_calc_fromsat,DO_diff_between_calc_obs
1446,1999-08-11,4.0,19.0,8.4,91,998.4073151999858,8.442603527168657,0.042603527168656896
1447,1999-08-11,5.0,19.0,8.4,91,998.4073151999858,8.442603527168657,0.042603527168656896
1448,1999-08-11,6.0,19.0,8.4,90,998.4073151999858,8.349827664232738,-0.050172335767262766
1449,1999-08-11,7.0,19.0,8.4,90,998.4073151999858,8.349827664232738,-0.050172335767262766
1450,1999-08-11,8.0,19.0,8.4,90,998.4073151999858,8.349827664232738,-0.050172335767262766
1451,1999-08-11,9.0,19.0,8.3,89,998.4073151999858,8.257051801296818,-0.04294819870318278
1452,1999-08-11,10.0,19.0,8.3,89,998.4073151999858,8.257051801296818,-0.04294819870318278
1453,1999-08-11,11.0,19.0,8.3,90,998.4073151999858,8.349827664232738,0.04982766423273688
1454,1999-08-11,12.0,19.0,8.3,89,998.4073151999858,8.257051801296818,-0.04294819870318278
1455,1999-08-11,13.0,16.6,1.5,15,998.8454796755482,1.4622548242964568,-0.03774517570354319
1456,1999-08-11,14.0,15.8,0.7,7,998.9772183711555,0.6940314500597391,-0.005968549940260859
1457,1999-08-11,15.0,15.5,0.5,5,999.0247246507914,0.49892088072456037,-0.0010791192754396328
1458,1999-08-11,16.0,15.3,0.4,4,999.0558150989089,0.400850961259985,0.0008509612599849614
1459,1999-08-11,17.0,15.2,0.3,3,999.0711853635676,0.3012847184532486,0.0012847184532486233
1460,1999-08-11,18.0,14.9,0.3,3,999.116592928217,0.30323897522037324,0.0032389752203732525
1461,1999-08-11,19.0,14.8,0.3,3,999.1314934224241,0.30389536033744624,0.003895360337446252
1462,1999-08-11,20.0,14.5,0.3,3,999.1754847867787,0.305879605038057,0.005879605038057012
1463,1999-08-18,1.0,18.5,10.6,114,998.5038047267631,10.684448183050902,0.08444818305090251
1464,1999-08-18,2.0,18.4,10.6,114,998.5227782469758,10.706281357109118,0.10628135710911835
1465,1999-08-18,3.0,18.3,10.3,111,998.5416430850937,10.445872331119482,0.14587233111948095
1466,1999-08-18,4.0,18.2,10.4,111,998.5603990013341,10.46728455074514,0.06728455074513917
1467,1999-08-18,5.0,18.1,10.3,109,998.5790457546606,10.299787246433581,-0.00021275356641936582
1468,1999-08-18,6.0,18.0,10.2,108,998.5975831027766,10.226278299283125,0.02627829928312586
1469,1999-08-18,7.0,17.9,10.1,107,998.6160108021168,10.15245613527494,0.05245613527494086
1470,1999-08-18,8.0,17.9,10,106,998.6160108021168,10.05757336765555,0.0575733676555501
1471,1999-08-18,9.0,17.9,9.8,104,998.6160108021168,9.867807832416766,0.06780783241676502
1472,1999-08-18,10.0,17.9,9.8,104,998.6160108021168,9.867807832416766,0.06780783241676502
1473,1999-08-18,11.0,17.8,9.8,103,998.6343286078396,9.793083585035685,-0.00691641496431572
1474,1999-08-18,12.0,17.8,9.8,103,998.6343286078396,9.793083585035685,-0.00691641496431572
1475,1999-08-18,13.0,17.8,9.8,103,998.6343286078396,9.793083585035685,-0.00691641496431572
1476,1999-08-18,14.0,17.8,9.8,103,998.6343286078396,9.793083585035685,-0.00691641496431572
1477,1999-08-18,15.0,15.7,0.7,7,998.9931695087458,0.6955117992114157,-0.004488200788584251
1478,1999-08-18,16.0,15.4,0.6,6,999.0403281010568,0.5999883239793035,-1.1676020696516076e-05
1479,1999-08-18,17.0,15.2,0.6,6,999.0711853635676,0.6025694369064972,0.0025694369064972467
1480,1999-08-18,18.0,15.0,0.5,5,999.1015745627374,0.5043084703405448,0.004308470340544823
1481,1999-08-18,19.0,14.9,0.5,5,999.116592928217,0.5053982920339555,0.005398292033955476
1482,1999-08-18,20.0,14.5,0.4,4,999.1754847867787,0.407839473384076,0.007839473384075979
1483,1999-08-25,0.0,17.8,9.7,102,998.6343286078396,9.69800510362757,-0.0019948963724285562
1484,1999-08-25,1.0,17.7,9.7,102,998.6525362738194,9.718040522781857,0.01804052278185786
1485,1999-08-25,2.0,17.7,9.8,103,998.6525362738194,9.813315429867954,0.013315429867953199
1486,1999-08-25,3.0,17.6,9.6,101,998.6706335526382,9.642676885161302,0.042676885161302636
1487,1999-08-25,4.0,17.5,9.7,101,998.6886201955786,9.662660808342137,-0.03733919165786226
